datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
4/7/2025 4:00:00 AM,4/7/2025 12:00:00 AM,1,PJM-RTO,,,ZONE,,45.90,43.821569,-1.814792,-0.263639,True,1
4/7/2025 5:00:00 AM,4/7/2025 1:00:00 AM,1,PJM-RTO,,,ZONE,,40.84,40.180905,-0.575906,-0.083188,True,1
4/7/2025 6:00:00 AM,4/7/2025 2:00:00 AM,1,PJM-RTO,,,ZONE,,36.19,35.048476,-1.042303,-0.099221,True,1
4/7/2025 7:00:00 AM,4/7/2025 3:00:00 AM,1,PJM-RTO,,,ZONE,,35.79,34.206689,-1.488937,-0.094374,True,1
4/7/2025 8:00:00 AM,4/7/2025 4:00:00 AM,1,PJM-RTO,,,ZONE,,38.97,35.554418,-3.169092,-0.246489,True,1
4/7/2025 9:00:00 AM,4/7/2025 5:00:00 AM,1,PJM-RTO,,,ZONE,,47.30,45.118858,-2.000303,-0.180839,True,1
4/7/2025 10:00:00 AM,4/7/2025 6:00:00 AM,1,PJM-RTO,,,ZONE,,63.45,63.189823,-0.047923,-0.212254,True,1
4/7/2025 11:00:00 AM,4/7/2025 7:00:00 AM,1,PJM-RTO,,,ZONE,,73.09,75.809360,2.753375,-0.034015,True,1
4/7/2025 12:00:00 PM,4/7/2025 8:00:00 AM,1,PJM-RTO,,,ZONE,,72.14,72.410792,0.326090,-0.055298,True,1
4/7/2025 1:00:00 PM,4/7/2025 9:00:00 AM,1,PJM-RTO,,,ZONE,,70.36,73.052194,2.413533,0.278661,True,1
4/7/2025 2:00:00 PM,4/7/2025 10:00:00 AM,1,PJM-RTO,,,ZONE,,65.80,67.161550,1.377078,-0.015527,True,1
4/7/2025 3:00:00 PM,4/7/2025 11:00:00 AM,1,PJM-RTO,,,ZONE,,61.07,62.388157,1.267066,0.051090,True,1
4/7/2025 4:00:00 PM,4/7/2025 12:00:00 PM,1,PJM-RTO,,,ZONE,,55.90,55.321934,-0.500583,-0.077484,True,1
4/7/2025 5:00:00 PM,4/7/2025 1:00:00 PM,1,PJM-RTO,,,ZONE,,52.76,53.685855,0.992982,-0.067127,True,1
4/7/2025 6:00:00 PM,4/7/2025 2:00:00 PM,1,PJM-RTO,,,ZONE,,52.14,52.246238,0.172277,-0.066039,True,1
4/7/2025 7:00:00 PM,4/7/2025 3:00:00 PM,1,PJM-RTO,,,ZONE,,50.63,50.977670,0.385441,-0.037771,True,1
4/7/2025 8:00:00 PM,4/7/2025 4:00:00 PM,1,PJM-RTO,,,ZONE,,52.36,53.072354,0.690344,0.022010,True,1
4/7/2025 9:00:00 PM,4/7/2025 5:00:00 PM,1,PJM-RTO,,,ZONE,,52.60,52.923970,0.341384,-0.017414,True,1
4/7/2025 10:00:00 PM,4/7/2025 6:00:00 PM,1,PJM-RTO,,,ZONE,,59.69,59.459439,-0.160034,-0.070527,True,1
4/7/2025 11:00:00 PM,4/7/2025 7:00:00 PM,1,PJM-RTO,,,ZONE,,79.14,80.689435,1.393689,0.155746,True,1
4/8/2025 12:00:00 AM,4/7/2025 8:00:00 PM,1,PJM-RTO,,,ZONE,,94.96,96.747660,1.558205,0.229455,True,1
4/8/2025 1:00:00 AM,4/7/2025 9:00:00 PM,1,PJM-RTO,,,ZONE,,75.30,76.126574,0.820751,0.005823,True,1
4/8/2025 2:00:00 AM,4/7/2025 10:00:00 PM,1,PJM-RTO,,,ZONE,,65.87,66.090730,0.280590,-0.059860,True,1
4/8/2025 3:00:00 AM,4/7/2025 11:00:00 PM,1,PJM-RTO,,,ZONE,,58.75,57.583596,-1.058933,-0.107471,True,1
4/8/2025 4:00:00 AM,4/8/2025 12:00:00 AM,1,PJM-RTO,,,ZONE,,48.30,48.900998,0.502758,0.098241,True,1
4/8/2025 5:00:00 AM,4/8/2025 1:00:00 AM,1,PJM-RTO,,,ZONE,,45.69,46.402496,0.638374,0.074122,True,1
4/8/2025 6:00:00 AM,4/8/2025 2:00:00 AM,1,PJM-RTO,,,ZONE,,44.49,45.297246,0.753527,0.053719,True,1
4/8/2025 7:00:00 AM,4/8/2025 3:00:00 AM,1,PJM-RTO,,,ZONE,,46.12,46.532548,0.445088,-0.032540,True,1
4/8/2025 8:00:00 AM,4/8/2025 4:00:00 AM,1,PJM-RTO,,,ZONE,,48.29,48.516346,0.257995,-0.031649,True,1
4/8/2025 9:00:00 AM,4/8/2025 5:00:00 AM,1,PJM-RTO,,,ZONE,,62.02,63.652081,1.562128,0.069953,True,1
4/8/2025 10:00:00 AM,4/8/2025 6:00:00 AM,1,PJM-RTO,,,ZONE,,113.07,115.400706,2.025623,0.305084,True,1
4/8/2025 11:00:00 AM,4/8/2025 7:00:00 AM,1,PJM-RTO,,,ZONE,,117.55,123.678924,4.990274,1.138650,True,1
4/8/2025 12:00:00 PM,4/8/2025 8:00:00 AM,1,PJM-RTO,,,ZONE,,64.44,67.034613,2.245342,0.349271,True,1
4/8/2025 1:00:00 PM,4/8/2025 9:00:00 AM,1,PJM-RTO,,,ZONE,,50.05,51.873091,1.596523,0.226567,True,1
